file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\main\java\me\coley\recaf\ui\controls\text\BytecodeMemberInserterPane.java,me.coley.recaf.ui.controls.text.BytecodeMemberInserterPane,class,3,3,0,3,5,4,0,2,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,0,0,0,12,0,0,2,0,1,0,0,0,36,1,0
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\main\java\me\coley\recaf\ui\MainWindow.java,me.coley.recaf.ui.MainWindow,class,26,28,2,26,37,2,0,55,58,0.8055556,0.2720588,0.44852942,20,1,17,3,0,0,17,0,0,0,9,1,0,9,0,0,1,0,7,145,10,0,11,2,2,5,4,15,0,15,4,0,1,5,101,1,0
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\main\java\me\coley\recaf\graph\flow\FlowBuilder.java,me.coley.recaf.graph.flow.FlowBuilder$Flow,innerclass,2,2,0,2,15,1,0,8,18,0.7222222,0.21428572,0.21428572,9,1,8,1,0,0,8,0,0,0,4,0,0,4,0,0,4,0,4,50,10,2,3,0,0,1,4,7,1,7,3,0,0,0,74,9,0
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\main\java\me\coley\recaf\util\OSUtil.java,me.coley.recaf.util.OSUtil,enum,1,7,6,1,6,1,0,3,1,0.33333334,0.33333334,0.33333334,3,1,2,0,0,1,3,0,0,0,1,0,0,1,0,0,1,0,1,18,4,0,0,0,0,7,0,2,0,2,1,0,0,0,26,1,0
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\test\java\me\coley\recaf\AssemblyAstTest.java,me.coley.recaf.AssemblyAstTest$Suggestions,innerclass,4,4,0,4,18,1,0,8,153,0.0,0.0,0.0,18,0,18,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,21,100,0,0,0,0,0,51,10,29,0,25,0,0,0,0,55,1,0
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\main\java\me\coley\recaf\compiler\JavassistCodeGen.java,me.coley.recaf.compiler.JavassistCodeGen,class,7,9,2,7,1,2,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,36,1,0
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\test\java\me\coley\recaf\CorrelationTest.java,me.coley.recaf.CorrelationTest$WithModified,innerclass,14,14,0,14,6,1,0,20,0,0.0,1.0,1.0,5,0,5,0,0,0,5,0,0,0,2,0,0,2,0,0,0,0,3,48,0,0,0,1,0,16,5,20,0,20,1,0,0,0,77,1,0
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\main\java\me\coley\recaf\compiler\JavassistMethodTranslator.java,me.coley.recaf.compiler.JavassistMethodTranslator,class,9,12,3,9,43,1,1,44,130,0.8235294,0.0,0.0,17,0,12,5,0,0,12,0,0,0,1,0,0,1,0,0,1,0,0,167,2,2,8,2,0,6,16,35,20,31,2,0,0,0,146,1,0
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\main\java\me\coley\recaf\plugin\PluginsManager.java,me.coley.recaf.plugin.PluginsManager,class,13,27,14,13,19,2,0,33,51,0.7857143,0.20879121,0.31868133,14,1,13,1,0,0,14,0,0,0,5,1,0,5,0,0,4,0,2,75,8,1,1,0,1,4,0,15,0,19,2,0,0,4,110,1,3
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\main\java\me\coley\recaf\decompile\fernflower\FernFlowerAccessor.java,me.coley.recaf.decompile.fernflower.FernFlowerAccessor,class,16,18,2,16,18,1,0,27,0,0.35714287,0.71428573,1.0,7,0,7,0,0,0,7,0,0,0,2,0,0,2,0,0,2,0,0,76,6,1,6,3,0,10,3,16,6,13,2,0,0,0,116,1,0
