file,class,method,variable,usage
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\main\java\me\coley\recaf\ui\MainWindow.java,me.coley.recaf.ui.MainWindow,clear/0,tabs,2
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\main\java\me\coley\recaf\ui\MainWindow.java,me.coley.recaf.ui.MainWindow,clear/0,navRoot,3
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\main\java\me\coley\recaf\ui\MainWindow.java,me.coley.recaf.ui.MainWindow,updateWorkspaceNavigator/0,controller,1
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\main\java\me\coley\recaf\ui\MainWindow.java,me.coley.recaf.ui.MainWindow,updateWorkspaceNavigator/0,navigator,1
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\main\java\me\coley\recaf\ui\MainWindow.java,me.coley.recaf.ui.MainWindow,updateWorkspaceNavigator/0,navRoot,1
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\main\java\me\coley\recaf\ui\MainWindow.java,me.coley.recaf.ui.MainWindow,getTabs/0,tabs,1
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\main\java\me\coley\recaf\ui\MainWindow.java,me.coley.recaf.ui.MainWindow,get/1[me.coley.recaf.ui.GuiController],controller,3
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\main\java\me\coley\recaf\ui\MainWindow.java,me.coley.recaf.ui.MainWindow,get/1[me.coley.recaf.ui.GuiController],window,3
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\main\java\me\coley\recaf\ui\MainWindow.java,me.coley.recaf.ui.MainWindow,setTitle/1[java.lang.String],stage,1
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\main\java\me\coley\recaf\ui\MainWindow.java,me.coley.recaf.ui.MainWindow,getStage/0,stage,1
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\main\java\me\coley\recaf\ui\MainWindow.java,me.coley.recaf.ui.MainWindow,getNavigator/0,navigator,1
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\main\java\me\coley\recaf\ui\MainWindow.java,me.coley.recaf.ui.MainWindow,start/1[me.coley.recaf.ui.Stage],controller,1
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\main\java\me\coley\recaf\ui\MainWindow.java,me.coley.recaf.ui.MainWindow,start/1[me.coley.recaf.ui.Stage],stage,5
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\main\java\me\coley\recaf\ui\MainWindow.java,me.coley.recaf.ui.MainWindow,start/1[me.coley.recaf.ui.Stage],window,1
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\main\java\me\coley\recaf\ui\MainWindow.java,me.coley.recaf.ui.MainWindow,saveApplication/0,menubar,1
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\main\java\me\coley\recaf\ui\MainWindow.java,me.coley.recaf.ui.MainWindow,clearTabViewports/0,tabs,2
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\main\java\me\coley\recaf\ui\MainWindow.java,me.coley.recaf.ui.MainWindow,"openFile/2[me.coley.recaf.workspace.JavaResource,java.lang.String]",tabs,1
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\main\java\me\coley\recaf\ui\MainWindow.java,me.coley.recaf.ui.MainWindow,status/1[java.lang.String],navRoot,4
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\main\java\me\coley\recaf\ui\MainWindow.java,me.coley.recaf.ui.MainWindow,MainWindow/1[me.coley.recaf.ui.GuiController],controller,3
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\main\java\me\coley\recaf\ui\MainWindow.java,me.coley.recaf.ui.MainWindow,disable/1[boolean],menubar,1
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\main\java\me\coley\recaf\ui\MainWindow.java,me.coley.recaf.ui.MainWindow,disable/1[boolean],tabs,2
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\main\java\me\coley\recaf\ui\MainWindow.java,me.coley.recaf.ui.MainWindow,disable/1[boolean],navRoot,2
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\main\java\me\coley\recaf\ui\MainWindow.java,me.coley.recaf.ui.MainWindow,getMenubar/0,menubar,1
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\main\java\me\coley\recaf\ui\MainWindow.java,me.coley.recaf.ui.MainWindow,setup/0,menubar,2
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\main\java\me\coley\recaf\ui\MainWindow.java,me.coley.recaf.ui.MainWindow,setup/0,viewRoot,3
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\main\java\me\coley\recaf\ui\MainWindow.java,me.coley.recaf.ui.MainWindow,setup/0,controller,5
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\main\java\me\coley\recaf\ui\MainWindow.java,me.coley.recaf.ui.MainWindow,setup/0,stage,4
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\main\java\me\coley\recaf\ui\MainWindow.java,me.coley.recaf.ui.MainWindow,setup/0,root,5
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\main\java\me\coley\recaf\ui\MainWindow.java,me.coley.recaf.ui.MainWindow,setup/0,tabs,2
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\main\java\me\coley\recaf\ui\MainWindow.java,me.coley.recaf.ui.MainWindow,setup/0,navRoot,3
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\main\java\me\coley\recaf\ui\MainWindow.java,me.coley.recaf.ui.MainWindow,"openClass/2[me.coley.recaf.workspace.JavaResource,java.lang.String]",tabs,1
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\main\java\me\coley\recaf\ui\MainWindow.java,me.coley.recaf.ui.MainWindow,getFileViewport/1[java.lang.String],tabs,1
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\main\java\me\coley\recaf\ui\MainWindow.java,me.coley.recaf.ui.MainWindow,getRoot/0,root,1
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\main\java\me\coley\recaf\ui\MainWindow.java,me.coley.recaf.ui.MainWindow,getClassViewport/1[java.lang.String],tabs,1
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\main\java\me\coley\recaf\graph\flow\FlowBuilder.java,me.coley.recaf.graph.flow.FlowBuilder$Flow,toString/0,id,1
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\main\java\me\coley\recaf\graph\flow\FlowBuilder.java,me.coley.recaf.graph.flow.FlowBuilder$Flow,toString/0,value,1
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\main\java\me\coley\recaf\graph\flow\FlowBuilder.java,me.coley.recaf.graph.flow.FlowBuilder$Flow,compareTo/1[me.coley.recaf.graph.flow.FlowBuilder.Flow],children,4
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\main\java\me\coley\recaf\graph\flow\FlowBuilder.java,me.coley.recaf.graph.flow.FlowBuilder$Flow,sort/0,children,1
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\main\java\me\coley\recaf\graph\flow\FlowBuilder.java,me.coley.recaf.graph.flow.FlowBuilder$Flow,"Flow/2[int,me.coley.recaf.graph.flow.FlowVertex]",id,4
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\main\java\me\coley\recaf\graph\flow\FlowBuilder.java,me.coley.recaf.graph.flow.FlowBuilder$Flow,"Flow/2[int,me.coley.recaf.graph.flow.FlowVertex]",value,4
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\main\java\me\coley\recaf\graph\flow\FlowBuilder.java,me.coley.recaf.graph.flow.FlowBuilder$Flow,getValue/0,value,1
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\main\java\me\coley\recaf\graph\flow\FlowBuilder.java,me.coley.recaf.graph.flow.FlowBuilder$Flow,getChildren/0,children,1
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\main\java\me\coley\recaf\graph\flow\FlowBuilder.java,me.coley.recaf.graph.flow.FlowBuilder$Flow,getParents/0,parents,1
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\main\java\me\coley\recaf\util\OSUtil.java,me.coley.recaf.util.OSUtil,getMvnName/0,mvnName,1
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\main\java\me\coley\recaf\util\OSUtil.java,me.coley.recaf.util.OSUtil,OSUtil/1[java.lang.String],mvnName,3
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\main\java\me\coley\recaf\util\OSUtil.java,me.coley.recaf.util.OSUtil,getOSType/0,LINUX,1
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\main\java\me\coley\recaf\util\OSUtil.java,me.coley.recaf.util.OSUtil,getOSType/0,WINDOWS,1
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\main\java\me\coley\recaf\util\OSUtil.java,me.coley.recaf.util.OSUtil,getOSType/0,MAC,1
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\test\java\me\coley\recaf\CorrelationTest.java,me.coley.recaf.CorrelationTest$WithModified,testMappingsInModifiedJarByChaningTheEntryPoint/0,workspace,3
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\test\java\me\coley\recaf\CorrelationTest.java,me.coley.recaf.CorrelationTest$WithModified,testMappingsInModifiedJarByChaningTheEntryPoint/0,target,2
