file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\main\java\me\coley\recaf\ui\controls\text\BytecodeMemberInserterPane.java,me.coley.recaf.ui.controls.text.BytecodeMemberInserterPane,disassemble/0,false,25,1,2,0,2,2,2,10,1,0,0,2,0,0,0,0,0,0,8,0,0,2,1,0,0,0,12,1,0,false
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\main\java\me\coley\recaf\ui\controls\text\BytecodeMemberInserterPane.java,me.coley.recaf.ui.controls.text.BytecodeMemberInserterPane,"BytecodeMemberInserterPane/3[me.coley.recaf.ui.controls.text.GuiController,java.lang.String,boolean]",true,20,1,0,0,0,3,0,3,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,21,1,0,true
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\main\java\me\coley\recaf\ui\MainWindow.java,me.coley.recaf.ui.MainWindow,clear/0,false,231,1,2,0,2,4,5,8,0,1,0,5,0,0,0,3,0,1,1,0,1,0,1,0,0,0,14,1,0,true
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\main\java\me\coley\recaf\ui\MainWindow.java,me.coley.recaf.ui.MainWindow,updateWorkspaceNavigator/0,false,100,1,2,2,0,1,2,3,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5,2,0,false
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\main\java\me\coley\recaf\ui\MainWindow.java,me.coley.recaf.ui.MainWindow,getTabs/0,false,151,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,true
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\main\java\me\coley\recaf\ui\MainWindow.java,me.coley.recaf.ui.MainWindow,get/1[me.coley.recaf.ui.GuiController],false,196,7,2,0,2,7,12,26,1,2,1,12,0,0,0,2,2,0,2,1,3,0,4,0,0,1,18,9,0,true
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\main\java\me\coley\recaf\ui\MainWindow.java,me.coley.recaf.ui.MainWindow,setTitle/1[java.lang.String],false,279,1,1,0,1,1,2,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,true
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\main\java\me\coley\recaf\ui\MainWindow.java,me.coley.recaf.ui.MainWindow,getStage/0,false,165,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,true
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\main\java\me\coley\recaf\ui\MainWindow.java,me.coley.recaf.ui.MainWindow,getNavigator/0,false,186,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,true
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\main\java\me\coley\recaf\ui\MainWindow.java,me.coley.recaf.ui.MainWindow,start/1[me.coley.recaf.ui.Stage],false,57,2,1,0,1,1,5,8,0,1,1,5,1,2,0,0,0,0,0,0,2,0,0,0,0,1,8,1,0,false
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\main\java\me\coley\recaf\ui\MainWindow.java,me.coley.recaf.ui.MainWindow,saveApplication/0,false,158,1,1,0,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,true
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\main\java\me\coley\recaf\ui\MainWindow.java,me.coley.recaf.ui.MainWindow,clearTabViewports/0,false,244,2,2,0,2,2,2,3,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,1,8,1,0,true
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\main\java\me\coley\recaf\ui\MainWindow.java,me.coley.recaf.ui.MainWindow,"openFile/2[me.coley.recaf.workspace.JavaResource,java.lang.String]",false,134,3,1,0,1,1,1,3,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,true
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\main\java\me\coley\recaf\ui\MainWindow.java,me.coley.recaf.ui.MainWindow,status/1[java.lang.String],false,270,1,1,0,1,4,3,3,0,0,1,3,0,0,0,2,0,1,0,0,0,0,1,0,0,0,20,1,0,true
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\main\java\me\coley\recaf\ui\MainWindow.java,me.coley.recaf.ui.MainWindow,MainWindow/1[me.coley.recaf.ui.GuiController],true,52,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,2,0,false
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\main\java\me\coley\recaf\ui\MainWindow.java,me.coley.recaf.ui.MainWindow,disable/1[boolean],false,255,0,0,0,0,3,1,5,0,0,1,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,11,1,0,true
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\main\java\me\coley\recaf\ui\MainWindow.java,me.coley.recaf.ui.MainWindow,getMenubar/0,false,179,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,true
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\main\java\me\coley\recaf\ui\MainWindow.java,me.coley.recaf.ui.MainWindow,setup/0,false,67,12,9,1,8,3,25,29,0,2,0,25,1,1,0,1,0,0,2,3,7,0,1,0,0,0,25,2,0,false
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\main\java\me\coley\recaf\ui\MainWindow.java,me.coley.recaf.ui.MainWindow,"openClass/2[me.coley.recaf.workspace.JavaResource,java.lang.String]",false,112,3,1,0,1,1,1,3,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,true
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\main\java\me\coley\recaf\ui\MainWindow.java,me.coley.recaf.ui.MainWindow,getFileViewport/1[java.lang.String],false,144,2,1,0,1,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,true
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\main\java\me\coley\recaf\ui\MainWindow.java,me.coley.recaf.ui.MainWindow,getRoot/0,false,172,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,true
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\main\java\me\coley\recaf\ui\MainWindow.java,me.coley.recaf.ui.MainWindow,getClassViewport/1[java.lang.String],false,122,2,1,0,1,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,true
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\main\java\me\coley\recaf\graph\flow\FlowBuilder.java,me.coley.recaf.graph.flow.FlowBuilder$Flow,toString/0,false,175,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4,1,0,false
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\main\java\me\coley\recaf\graph\flow\FlowBuilder.java,me.coley.recaf.graph.flow.FlowBuilder$Flow,compareTo/1[me.coley.recaf.graph.flow.FlowBuilder.Flow],false,145,1,2,1,1,4,4,12,3,2,1,4,1,0,1,2,0,0,0,3,2,0,3,0,0,0,24,1,0,true
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\main\java\me\coley\recaf\graph\flow\FlowBuilder.java,me.coley.recaf.graph.flow.FlowBuilder$Flow,"getDifference/3[java.util.Set<me.coley.recaf.graph.flow.FlowBuilder.Flow>,me.coley.recaf.graph.flow.FlowBuilder.Flow,me.coley.recaf.graph.flow.FlowBuilder.Flow]",false,118,1,3,2,1,4,5,10,2,1,3,5,1,0,1,1,0,0,0,1,1,0,2,0,0,0,6,10,0,false
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\main\java\me\coley\recaf\graph\flow\FlowBuilder.java,me.coley.recaf.graph.flow.FlowBuilder$Flow,sort/0,false,132,0,1,1,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,true
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\main\java\me\coley\recaf\graph\flow\FlowBuilder.java,me.coley.recaf.graph.flow.FlowBuilder$Flow,"Flow/2[int,me.coley.recaf.graph.flow.FlowVertex]",true,101,1,1,1,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7,1,0,true
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\main\java\me\coley\recaf\graph\flow\FlowBuilder.java,me.coley.recaf.graph.flow.FlowBuilder$Flow,getValue/0,false,182,1,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,true
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\main\java\me\coley\recaf\graph\flow\FlowBuilder.java,me.coley.recaf.graph.flow.FlowBuilder$Flow,getChildren/0,false,163,1,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,true
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\main\java\me\coley\recaf\graph\flow\FlowBuilder.java,me.coley.recaf.graph.flow.FlowBuilder$Flow,getDifference/1[me.coley.recaf.graph.flow.FlowBuilder.Flow],false,114,1,2,1,1,1,1,3,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,30,1,0,true
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\main\java\me\coley\recaf\graph\flow\FlowBuilder.java,me.coley.recaf.graph.flow.FlowBuilder$Flow,getParents/0,false,170,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,true
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\main\java\me\coley\recaf\util\OSUtil.java,me.coley.recaf.util.OSUtil,getMvnName/0,false,20,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,true
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\main\java\me\coley\recaf\util\OSUtil.java,me.coley.recaf.util.OSUtil,OSUtil/1[java.lang.String],true,13,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,false
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\main\java\me\coley\recaf\util\OSUtil.java,me.coley.recaf.util.OSUtil,getOSType/0,false,27,1,5,5,0,4,3,10,3,1,0,3,0,0,0,0,0,0,4,0,1,0,1,0,0,0,19,9,0,true
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\test\java\me\coley\recaf\AssemblyAstTest.java,me.coley.recaf.AssemblyAstTest$Suggestions,testMemberSuggestFromField/0,false,522,2,1,0,1,1,3,4,0,1,0,3,0,0,0,0,0,0,2,0,1,0,0,0,0,0,15,1,0,false
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\test\java\me\coley\recaf\AssemblyAstTest.java,me.coley.recaf.AssemblyAstTest$Suggestions,testMultiANewArrayInsnSuggest/0,false,510,2,1,0,1,1,3,4,0,1,0,3,0,0,0,0,0,0,2,0,1,0,0,0,0,0,12,1,0,false
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\test\java\me\coley\recaf\AssemblyAstTest.java,me.coley.recaf.AssemblyAstTest$Suggestions,testItfSuggest/0,false,540,2,1,0,1,1,4,6,0,1,0,4,0,0,0,0,0,0,4,0,2,0,0,0,0,0,14,1,0,false
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\test\java\me\coley\recaf\AssemblyAstTest.java,me.coley.recaf.AssemblyAstTest$Suggestions,testIndySuggestHandleMethod/0,false,627,2,1,0,1,1,3,4,0,1,0,3,0,0,0,0,0,0,2,0,1,0,0,0,0,0,15,1,0,false
