file,class,method,variable,usage
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\main\java\me\coley\recaf\ui\controls\text\BytecodeMemberInserterPane.java,me.coley.recaf.ui.controls.text.BytecodeMemberInserterPane,"BytecodeMemberInserterPane/3[me.coley.recaf.ui.controls.text.GuiController,java.lang.String,boolean]",controller,1
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\main\java\me\coley\recaf\ui\controls\text\BytecodeMemberInserterPane.java,me.coley.recaf.ui.controls.text.BytecodeMemberInserterPane,"BytecodeMemberInserterPane/3[me.coley.recaf.ui.controls.text.GuiController,java.lang.String,boolean]",isMethod,2
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\main\java\me\coley\recaf\ui\controls\text\BytecodeMemberInserterPane.java,me.coley.recaf.ui.controls.text.BytecodeMemberInserterPane,"BytecodeMemberInserterPane/3[me.coley.recaf.ui.controls.text.GuiController,java.lang.String,boolean]",className,1
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\main\java\me\coley\recaf\ui\MainWindow.java,me.coley.recaf.ui.MainWindow,clear/0,nav,2
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\main\java\me\coley\recaf\ui\MainWindow.java,me.coley.recaf.ui.MainWindow,get/1[me.coley.recaf.ui.GuiController],app,2
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\main\java\me\coley\recaf\ui\MainWindow.java,me.coley.recaf.ui.MainWindow,get/1[me.coley.recaf.ui.GuiController],ignored,0
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\main\java\me\coley\recaf\ui\MainWindow.java,me.coley.recaf.ui.MainWindow,get/1[me.coley.recaf.ui.GuiController],controller,1
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\main\java\me\coley\recaf\ui\MainWindow.java,me.coley.recaf.ui.MainWindow,get/1[me.coley.recaf.ui.GuiController],ex,1
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\main\java\me\coley\recaf\ui\MainWindow.java,me.coley.recaf.ui.MainWindow,get/1[me.coley.recaf.ui.GuiController],stage,1
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\main\java\me\coley\recaf\ui\MainWindow.java,me.coley.recaf.ui.MainWindow,setTitle/1[java.lang.String],title,1
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\main\java\me\coley\recaf\ui\MainWindow.java,me.coley.recaf.ui.MainWindow,start/1[me.coley.recaf.ui.Stage],stage,4
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\main\java\me\coley\recaf\ui\MainWindow.java,me.coley.recaf.ui.MainWindow,start/1[me.coley.recaf.ui.Stage],e,0
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\main\java\me\coley\recaf\ui\MainWindow.java,me.coley.recaf.ui.MainWindow,"openFile/2[me.coley.recaf.workspace.JavaResource,java.lang.String]",resource,1
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\main\java\me\coley\recaf\ui\MainWindow.java,me.coley.recaf.ui.MainWindow,"openFile/2[me.coley.recaf.workspace.JavaResource,java.lang.String]",name,1
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\main\java\me\coley\recaf\ui\MainWindow.java,me.coley.recaf.ui.MainWindow,status/1[java.lang.String],status,1
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\main\java\me\coley\recaf\ui\MainWindow.java,me.coley.recaf.ui.MainWindow,MainWindow/1[me.coley.recaf.ui.GuiController],controller,2
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\main\java\me\coley\recaf\ui\MainWindow.java,me.coley.recaf.ui.MainWindow,disable/1[boolean],status,3
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\main\java\me\coley\recaf\ui\MainWindow.java,me.coley.recaf.ui.MainWindow,setup/0,split,4
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\main\java\me\coley\recaf\ui\MainWindow.java,me.coley.recaf.ui.MainWindow,setup/0,scene,3
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\main\java\me\coley\recaf\ui\MainWindow.java,me.coley.recaf.ui.MainWindow,"openClass/2[me.coley.recaf.workspace.JavaResource,java.lang.String]",resource,1
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\main\java\me\coley\recaf\ui\MainWindow.java,me.coley.recaf.ui.MainWindow,"openClass/2[me.coley.recaf.workspace.JavaResource,java.lang.String]",name,1
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\main\java\me\coley\recaf\ui\MainWindow.java,me.coley.recaf.ui.MainWindow,getFileViewport/1[java.lang.String],name,1
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\main\java\me\coley\recaf\ui\MainWindow.java,me.coley.recaf.ui.MainWindow,getClassViewport/1[java.lang.String],name,1
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\main\java\me\coley\recaf\graph\flow\FlowBuilder.java,me.coley.recaf.graph.flow.FlowBuilder$Flow,compareTo/1[me.coley.recaf.graph.flow.FlowBuilder.Flow],result,2
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\main\java\me\coley\recaf\graph\flow\FlowBuilder.java,me.coley.recaf.graph.flow.FlowBuilder$Flow,compareTo/1[me.coley.recaf.graph.flow.FlowBuilder.Flow],other,3
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\main\java\me\coley\recaf\graph\flow\FlowBuilder.java,me.coley.recaf.graph.flow.FlowBuilder$Flow,compareTo/1[me.coley.recaf.graph.flow.FlowBuilder.Flow],i,4
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\main\java\me\coley\recaf\graph\flow\FlowBuilder.java,me.coley.recaf.graph.flow.FlowBuilder$Flow,"getDifference/3[java.util.Set<me.coley.recaf.graph.flow.FlowBuilder.Flow>,me.coley.recaf.graph.flow.FlowBuilder.Flow,me.coley.recaf.graph.flow.FlowBuilder.Flow]",set,5
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\main\java\me\coley\recaf\graph\flow\FlowBuilder.java,me.coley.recaf.graph.flow.FlowBuilder$Flow,"getDifference/3[java.util.Set<me.coley.recaf.graph.flow.FlowBuilder.Flow>,me.coley.recaf.graph.flow.FlowBuilder.Flow,me.coley.recaf.graph.flow.FlowBuilder.Flow]",i,4
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\main\java\me\coley\recaf\graph\flow\FlowBuilder.java,me.coley.recaf.graph.flow.FlowBuilder$Flow,"getDifference/3[java.util.Set<me.coley.recaf.graph.flow.FlowBuilder.Flow>,me.coley.recaf.graph.flow.FlowBuilder.Flow,me.coley.recaf.graph.flow.FlowBuilder.Flow]",vert1,4
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\main\java\me\coley\recaf\graph\flow\FlowBuilder.java,me.coley.recaf.graph.flow.FlowBuilder$Flow,"getDifference/3[java.util.Set<me.coley.recaf.graph.flow.FlowBuilder.Flow>,me.coley.recaf.graph.flow.FlowBuilder.Flow,me.coley.recaf.graph.flow.FlowBuilder.Flow]",vert2,2
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\main\java\me\coley\recaf\graph\flow\FlowBuilder.java,me.coley.recaf.graph.flow.FlowBuilder$Flow,"Flow/2[int,me.coley.recaf.graph.flow.FlowVertex]",id,2
C:\Users\91768\Desktop\oops project\excel projects\Recaf-master\src\main\java\me\coley\recaf\graph\flow\FlowBuilder.java,me.coley.recaf.graph.flow.FlowBuilder$Flow,"Flow/2[int,me.coley.recaf.graph.flow.FlowVertex]",value,2
