file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\91768\Desktop\oops project\excel projects\flutter-webrtc-main\android\src\main\java\com\cloudwebrtc\webrtc\FlutterRTCFrameCryptor.java,com.cloudwebrtc.webrtc.FlutterRTCFrameCryptor,class,16,18,2,16,38,1,0,43,26,0.7692307,0.0,0.0,13,0,2,11,0,0,2,0,0,0,5,1,0,5,0,0,5,0,3,299,25,0,10,0,0,76,3,69,0,68,1,0,1,0,72,1,11
C:\Users\91768\Desktop\oops project\excel projects\flutter-webrtc-main\android\src\main\java\com\cloudwebrtc\webrtc\utils\ConstraintsMap.java,com.cloudwebrtc.webrtc.utils.ConstraintsMap,class,4,16,12,4,35,1,0,6,0,0.0,1.0,1.0,24,0,24,0,0,0,24,0,0,0,1,0,0,1,0,0,1,0,1,110,21,0,5,0,1,5,0,5,3,4,1,0,0,0,31,1,0
C:\Users\91768\Desktop\oops project\excel projects\flutter-webrtc-main\android\src\main\java\com\cloudwebrtc\webrtc\MethodCallHandlerImpl.java,com.cloudwebrtc.webrtc.MethodCallHandlerImpl,class,59,66,7,59,379,1,0,248,1282,0.8910256,0.2874317,0.66994536,72,1,57,11,0,4,61,0,0,0,13,1,1,12,0,0,8,0,63,1704,42,25,138,3,6,511,20,360,20,312,4,5,0,1,283,1,1
C:\Users\91768\Desktop\oops project\excel projects\flutter-webrtc-main\android\src\main\java\com\cloudwebrtc\webrtc\record\OutputAudioSamplesInterceptor.java,com.cloudwebrtc.webrtc.record.OutputAudioSamplesInterceptor,class,4,5,1,4,5,2,0,5,0,0.0,1.0,1.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,1,0,2,15,0,0,0,0,0,0,0,1,0,1,1,0,0,0,15,1,0
C:\Users\91768\Desktop\oops project\excel projects\flutter-webrtc-main\android\src\main\java\com\cloudwebrtc\webrtc\SurfaceTextureRenderer.java,com.cloudwebrtc.webrtc.SurfaceTextureRenderer,class,9,11,2,9,19,2,0,20,25,0.7386364,0.15555556,0.22222222,11,0,10,1,0,0,10,0,0,0,8,0,0,8,0,0,1,0,0,85,1,0,6,0,0,0,5,15,0,9,3,0,0,0,109,1,0
C:\Users\91768\Desktop\oops project\excel projects\flutter-webrtc-main\android\src\main\java\com\cloudwebrtc\webrtc\GetUserMediaImpl.java,com.cloudwebrtc.webrtc.GetUserMediaImpl$Anonymous5,anonymous,1,1,0,1,2,1,0,2,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,2,0,1,1,0,0,0,0,0,11,-1,0
C:\Users\91768\Desktop\oops project\excel projects\flutter-webrtc-main\android\src\main\java\com\cloudwebrtc\webrtc\FlutterWebRTCPlugin.java,com.cloudwebrtc.webrtc.FlutterWebRTCPlugin,class,25,26,1,25,18,1,0,28,30,0.77884614,0.18181819,0.23636363,13,1,11,2,0,0,11,0,0,0,8,2,2,6,0,0,1,0,0,115,2,0,4,0,2,8,0,15,1,13,2,0,1,2,77,1,0
C:\Users\91768\Desktop\oops project\excel projects\flutter-webrtc-main\android\src\main\java\com\cloudwebrtc\webrtc\CameraEventsHandler.java,com.cloudwebrtc.webrtc.CameraEventsHandler,class,1,2,1,1,6,1,0,2,0,0.0,1.0,1.0,6,0,6,0,0,0,6,0,0,0,1,1,0,1,0,0,1,0,3,21,0,0,0,0,0,6,0,1,0,1,0,0,0,0,19,0,0
C:\Users\91768\Desktop\oops project\excel projects\flutter-webrtc-main\android\src\main\java\com\cloudwebrtc\webrtc\record\FrameCapturer.java,com.cloudwebrtc.webrtc.record.FrameCapturer,class,11,12,1,11,11,1,0,35,0,0.125,1.0,1.0,2,0,2,0,0,0,2,0,0,0,4,0,0,4,0,0,2,0,2,77,2,0,0,2,2,4,18,25,7,23,2,0,0,1,53,1,3
C:\Users\91768\Desktop\oops project\excel projects\flutter-webrtc-main\android\src\main\java\com\cloudwebrtc\webrtc\FlutterRTCVideoRenderer.java,com.cloudwebrtc.webrtc.FlutterRTCVideoRenderer$Anonymous1,anonymous,1,1,0,1,7,1,0,5,1,0.5,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,34,0,0,5,0,0,12,3,9,0,6,2,0,0,0,20,-1,0
