file,class,method,variable,usage
C:\Users\91768\Desktop\oops project\excel projects\flutter-webrtc-main\android\src\main\java\com\cloudwebrtc\webrtc\FlutterRTCFrameCryptor.java,com.cloudwebrtc.webrtc.FlutterRTCFrameCryptor,"frameCryptorGetEnabled/2[java.util.Map<java.lang.String,java.lang.Object>,com.cloudwebrtc.webrtc.Result]",frameCryptos,1
C:\Users\91768\Desktop\oops project\excel projects\flutter-webrtc-main\android\src\main\java\com\cloudwebrtc\webrtc\FlutterRTCFrameCryptor.java,com.cloudwebrtc.webrtc.FlutterRTCFrameCryptor,"keyProviderRatchetKey/2[java.util.Map<java.lang.String,java.lang.Object>,com.cloudwebrtc.webrtc.Result]",keyProviders,1
C:\Users\91768\Desktop\oops project\excel projects\flutter-webrtc-main\android\src\main\java\com\cloudwebrtc\webrtc\FlutterRTCFrameCryptor.java,com.cloudwebrtc.webrtc.FlutterRTCFrameCryptor,"frameCryptorFactoryCreateFrameCryptor/2[java.util.Map<java.lang.String,java.lang.Object>,com.cloudwebrtc.webrtc.Result]",frameCryptos,2
C:\Users\91768\Desktop\oops project\excel projects\flutter-webrtc-main\android\src\main\java\com\cloudwebrtc\webrtc\FlutterRTCFrameCryptor.java,com.cloudwebrtc.webrtc.FlutterRTCFrameCryptor,"frameCryptorFactoryCreateFrameCryptor/2[java.util.Map<java.lang.String,java.lang.Object>,com.cloudwebrtc.webrtc.Result]",frameCryptoObservers,2
C:\Users\91768\Desktop\oops project\excel projects\flutter-webrtc-main\android\src\main\java\com\cloudwebrtc\webrtc\FlutterRTCFrameCryptor.java,com.cloudwebrtc.webrtc.FlutterRTCFrameCryptor,"frameCryptorFactoryCreateFrameCryptor/2[java.util.Map<java.lang.String,java.lang.Object>,com.cloudwebrtc.webrtc.Result]",stateProvider,3
C:\Users\91768\Desktop\oops project\excel projects\flutter-webrtc-main\android\src\main\java\com\cloudwebrtc\webrtc\FlutterRTCFrameCryptor.java,com.cloudwebrtc.webrtc.FlutterRTCFrameCryptor,"frameCryptorFactoryCreateFrameCryptor/2[java.util.Map<java.lang.String,java.lang.Object>,com.cloudwebrtc.webrtc.Result]",keyProviders,1
C:\Users\91768\Desktop\oops project\excel projects\flutter-webrtc-main\android\src\main\java\com\cloudwebrtc\webrtc\FlutterRTCFrameCryptor.java,com.cloudwebrtc.webrtc.FlutterRTCFrameCryptor,FlutterRTCFrameCryptor/1[com.cloudwebrtc.webrtc.StateProvider],stateProvider,3
C:\Users\91768\Desktop\oops project\excel projects\flutter-webrtc-main\android\src\main\java\com\cloudwebrtc\webrtc\FlutterRTCFrameCryptor.java,com.cloudwebrtc.webrtc.FlutterRTCFrameCryptor,"keyProviderSetKey/2[java.util.Map<java.lang.String,java.lang.Object>,com.cloudwebrtc.webrtc.Result]",keyProviders,1
C:\Users\91768\Desktop\oops project\excel projects\flutter-webrtc-main\android\src\main\java\com\cloudwebrtc\webrtc\FlutterRTCFrameCryptor.java,com.cloudwebrtc.webrtc.FlutterRTCFrameCryptor,"frameCryptorSetKeyIndex/2[java.util.Map<java.lang.String,java.lang.Object>,com.cloudwebrtc.webrtc.Result]",frameCryptos,1
C:\Users\91768\Desktop\oops project\excel projects\flutter-webrtc-main\android\src\main\java\com\cloudwebrtc\webrtc\FlutterRTCFrameCryptor.java,com.cloudwebrtc.webrtc.FlutterRTCFrameCryptor,"frameCryptorDispose/2[java.util.Map<java.lang.String,java.lang.Object>,com.cloudwebrtc.webrtc.Result]",frameCryptos,2
