file,class,method,variable,usage
C:\Users\91768\Desktop\oops project\excel projects\flutter-webrtc-main\android\src\main\java\com\cloudwebrtc\webrtc\FlutterRTCFrameCryptor.java,com.cloudwebrtc.webrtc.FlutterRTCFrameCryptor,"frameCryptorGetEnabled/2[java.util.Map<java.lang.String,java.lang.Object>,com.cloudwebrtc.webrtc.Result]",result,2
C:\Users\91768\Desktop\oops project\excel projects\flutter-webrtc-main\android\src\main\java\com\cloudwebrtc\webrtc\FlutterRTCFrameCryptor.java,com.cloudwebrtc.webrtc.FlutterRTCFrameCryptor,"frameCryptorGetEnabled/2[java.util.Map<java.lang.String,java.lang.Object>,com.cloudwebrtc.webrtc.Result]",frameCryptor,2
C:\Users\91768\Desktop\oops project\excel projects\flutter-webrtc-main\android\src\main\java\com\cloudwebrtc\webrtc\FlutterRTCFrameCryptor.java,com.cloudwebrtc.webrtc.FlutterRTCFrameCryptor,"frameCryptorGetEnabled/2[java.util.Map<java.lang.String,java.lang.Object>,com.cloudwebrtc.webrtc.Result]",paramsResult,2
C:\Users\91768\Desktop\oops project\excel projects\flutter-webrtc-main\android\src\main\java\com\cloudwebrtc\webrtc\FlutterRTCFrameCryptor.java,com.cloudwebrtc.webrtc.FlutterRTCFrameCryptor,"frameCryptorGetEnabled/2[java.util.Map<java.lang.String,java.lang.Object>,com.cloudwebrtc.webrtc.Result]",frameCryptorId,1
C:\Users\91768\Desktop\oops project\excel projects\flutter-webrtc-main\android\src\main\java\com\cloudwebrtc\webrtc\FlutterRTCFrameCryptor.java,com.cloudwebrtc.webrtc.FlutterRTCFrameCryptor,"frameCryptorGetEnabled/2[java.util.Map<java.lang.String,java.lang.Object>,com.cloudwebrtc.webrtc.Result]",params,1
C:\Users\91768\Desktop\oops project\excel projects\flutter-webrtc-main\android\src\main\java\com\cloudwebrtc\webrtc\FlutterRTCFrameCryptor.java,com.cloudwebrtc.webrtc.FlutterRTCFrameCryptor,"frameCryptorGetEnabled/2[java.util.Map<java.lang.String,java.lang.Object>,com.cloudwebrtc.webrtc.Result]",enabled,1
C:\Users\91768\Desktop\oops project\excel projects\flutter-webrtc-main\android\src\main\java\com\cloudwebrtc\webrtc\FlutterRTCFrameCryptor.java,com.cloudwebrtc.webrtc.FlutterRTCFrameCryptor,"keyProviderRatchetKey/2[java.util.Map<java.lang.String,java.lang.Object>,com.cloudwebrtc.webrtc.Result]",result,2
C:\Users\91768\Desktop\oops project\excel projects\flutter-webrtc-main\android\src\main\java\com\cloudwebrtc\webrtc\FlutterRTCFrameCryptor.java,com.cloudwebrtc.webrtc.FlutterRTCFrameCryptor,"keyProviderRatchetKey/2[java.util.Map<java.lang.String,java.lang.Object>,com.cloudwebrtc.webrtc.Result]",participantId,1
C:\Users\91768\Desktop\oops project\excel projects\flutter-webrtc-main\android\src\main\java\com\cloudwebrtc\webrtc\FlutterRTCFrameCryptor.java,com.cloudwebrtc.webrtc.FlutterRTCFrameCryptor,"keyProviderRatchetKey/2[java.util.Map<java.lang.String,java.lang.Object>,com.cloudwebrtc.webrtc.Result]",paramsResult,2
C:\Users\91768\Desktop\oops project\excel projects\flutter-webrtc-main\android\src\main\java\com\cloudwebrtc\webrtc\FlutterRTCFrameCryptor.java,com.cloudwebrtc.webrtc.FlutterRTCFrameCryptor,"keyProviderRatchetKey/2[java.util.Map<java.lang.String,java.lang.Object>,com.cloudwebrtc.webrtc.Result]",newKey,1
C:\Users\91768\Desktop\oops project\excel projects\flutter-webrtc-main\android\src\main\java\com\cloudwebrtc\webrtc\FlutterRTCFrameCryptor.java,com.cloudwebrtc.webrtc.FlutterRTCFrameCryptor,"keyProviderRatchetKey/2[java.util.Map<java.lang.String,java.lang.Object>,com.cloudwebrtc.webrtc.Result]",keyProviderId,1
C:\Users\91768\Desktop\oops project\excel projects\flutter-webrtc-main\android\src\main\java\com\cloudwebrtc\webrtc\FlutterRTCFrameCryptor.java,com.cloudwebrtc.webrtc.FlutterRTCFrameCryptor,"keyProviderRatchetKey/2[java.util.Map<java.lang.String,java.lang.Object>,com.cloudwebrtc.webrtc.Result]",keyIndex,1
C:\Users\91768\Desktop\oops project\excel projects\flutter-webrtc-main\android\src\main\java\com\cloudwebrtc\webrtc\FlutterRTCFrameCryptor.java,com.cloudwebrtc.webrtc.FlutterRTCFrameCryptor,"keyProviderRatchetKey/2[java.util.Map<java.lang.String,java.lang.Object>,com.cloudwebrtc.webrtc.Result]",keyProvider,2
C:\Users\91768\Desktop\oops project\excel projects\flutter-webrtc-main\android\src\main\java\com\cloudwebrtc\webrtc\FlutterRTCFrameCryptor.java,com.cloudwebrtc.webrtc.FlutterRTCFrameCryptor,"keyProviderRatchetKey/2[java.util.Map<java.lang.String,java.lang.Object>,com.cloudwebrtc.webrtc.Result]",params,3
C:\Users\91768\Desktop\oops project\excel projects\flutter-webrtc-main\android\src\main\java\com\cloudwebrtc\webrtc\FlutterRTCFrameCryptor.java,com.cloudwebrtc.webrtc.FlutterRTCFrameCryptor,frameCryptorAlgorithmFromInt/1[int],algorithm,1
C:\Users\91768\Desktop\oops project\excel projects\flutter-webrtc-main\android\src\main\java\com\cloudwebrtc\webrtc\FlutterRTCFrameCryptor.java,com.cloudwebrtc.webrtc.FlutterRTCFrameCryptor,"frameCryptorFactoryCreateFrameCryptor/2[java.util.Map<java.lang.String,java.lang.Object>,com.cloudwebrtc.webrtc.Result]",paramsResult,5
C:\Users\91768\Desktop\oops project\excel projects\flutter-webrtc-main\android\src\main\java\com\cloudwebrtc\webrtc\FlutterRTCFrameCryptor.java,com.cloudwebrtc.webrtc.FlutterRTCFrameCryptor,"frameCryptorFactoryCreateFrameCryptor/2[java.util.Map<java.lang.String,java.lang.Object>,com.cloudwebrtc.webrtc.Result]",rtpSender,1
C:\Users\91768\Desktop\oops project\excel projects\flutter-webrtc-main\android\src\main\java\com\cloudwebrtc\webrtc\FlutterRTCFrameCryptor.java,com.cloudwebrtc.webrtc.FlutterRTCFrameCryptor,"frameCryptorFactoryCreateFrameCryptor/2[java.util.Map<java.lang.String,java.lang.Object>,com.cloudwebrtc.webrtc.Result]",frameCryptorId,9
C:\Users\91768\Desktop\oops project\excel projects\flutter-webrtc-main\android\src\main\java\com\cloudwebrtc\webrtc\FlutterRTCFrameCryptor.java,com.cloudwebrtc.webrtc.FlutterRTCFrameCryptor,"frameCryptorFactoryCreateFrameCryptor/2[java.util.Map<java.lang.String,java.lang.Object>,com.cloudwebrtc.webrtc.Result]",rtpReceiver,1
C:\Users\91768\Desktop\oops project\excel projects\flutter-webrtc-main\android\src\main\java\com\cloudwebrtc\webrtc\FlutterRTCFrameCryptor.java,com.cloudwebrtc.webrtc.FlutterRTCFrameCryptor,"frameCryptorFactoryCreateFrameCryptor/2[java.util.Map<java.lang.String,java.lang.Object>,com.cloudwebrtc.webrtc.Result]",rtpReceiverId,1
C:\Users\91768\Desktop\oops project\excel projects\flutter-webrtc-main\android\src\main\java\com\cloudwebrtc\webrtc\FlutterRTCFrameCryptor.java,com.cloudwebrtc.webrtc.FlutterRTCFrameCryptor,"frameCryptorFactoryCreateFrameCryptor/2[java.util.Map<java.lang.String,java.lang.Object>,com.cloudwebrtc.webrtc.Result]",params,7
C:\Users\91768\Desktop\oops project\excel projects\flutter-webrtc-main\android\src\main\java\com\cloudwebrtc\webrtc\FlutterRTCFrameCryptor.java,com.cloudwebrtc.webrtc.FlutterRTCFrameCryptor,"frameCryptorFactoryCreateFrameCryptor/2[java.util.Map<java.lang.String,java.lang.Object>,com.cloudwebrtc.webrtc.Result]",type,2
C:\Users\91768\Desktop\oops project\excel projects\flutter-webrtc-main\android\src\main\java\com\cloudwebrtc\webrtc\FlutterRTCFrameCryptor.java,com.cloudwebrtc.webrtc.FlutterRTCFrameCryptor,"frameCryptorFactoryCreateFrameCryptor/2[java.util.Map<java.lang.String,java.lang.Object>,com.cloudwebrtc.webrtc.Result]",result,5
C:\Users\91768\Desktop\oops project\excel projects\flutter-webrtc-main\android\src\main\java\com\cloudwebrtc\webrtc\FlutterRTCFrameCryptor.java,com.cloudwebrtc.webrtc.FlutterRTCFrameCryptor,"frameCryptorFactoryCreateFrameCryptor/2[java.util.Map<java.lang.String,java.lang.Object>,com.cloudwebrtc.webrtc.Result]",participantId,2
C:\Users\91768\Desktop\oops project\excel projects\flutter-webrtc-main\android\src\main\java\com\cloudwebrtc\webrtc\FlutterRTCFrameCryptor.java,com.cloudwebrtc.webrtc.FlutterRTCFrameCryptor,"frameCryptorFactoryCreateFrameCryptor/2[java.util.Map<java.lang.String,java.lang.Object>,com.cloudwebrtc.webrtc.Result]",frameCryptor,5
C:\Users\91768\Desktop\oops project\excel projects\flutter-webrtc-main\android\src\main\java\com\cloudwebrtc\webrtc\FlutterRTCFrameCryptor.java,com.cloudwebrtc.webrtc.FlutterRTCFrameCryptor,"frameCryptorFactoryCreateFrameCryptor/2[java.util.Map<java.lang.String,java.lang.Object>,com.cloudwebrtc.webrtc.Result]",observer,5
C:\Users\91768\Desktop\oops project\excel projects\flutter-webrtc-main\android\src\main\java\com\cloudwebrtc\webrtc\FlutterRTCFrameCryptor.java,com.cloudwebrtc.webrtc.FlutterRTCFrameCryptor,"frameCryptorFactoryCreateFrameCryptor/2[java.util.Map<java.lang.String,java.lang.Object>,com.cloudwebrtc.webrtc.Result]",rtpSenderId,1
C:\Users\91768\Desktop\oops project\excel projects\flutter-webrtc-main\android\src\main\java\com\cloudwebrtc\webrtc\FlutterRTCFrameCryptor.java,com.cloudwebrtc.webrtc.FlutterRTCFrameCryptor,"frameCryptorFactoryCreateFrameCryptor/2[java.util.Map<java.lang.String,java.lang.Object>,com.cloudwebrtc.webrtc.Result]",keyProviderId,1
C:\Users\91768\Desktop\oops project\excel projects\flutter-webrtc-main\android\src\main\java\com\cloudwebrtc\webrtc\FlutterRTCFrameCryptor.java,com.cloudwebrtc.webrtc.FlutterRTCFrameCryptor,"frameCryptorFactoryCreateFrameCryptor/2[java.util.Map<java.lang.String,java.lang.Object>,com.cloudwebrtc.webrtc.Result]",keyProvider,3
C:\Users\91768\Desktop\oops project\excel projects\flutter-webrtc-main\android\src\main\java\com\cloudwebrtc\webrtc\FlutterRTCFrameCryptor.java,com.cloudwebrtc.webrtc.FlutterRTCFrameCryptor,"frameCryptorFactoryCreateFrameCryptor/2[java.util.Map<java.lang.String,java.lang.Object>,com.cloudwebrtc.webrtc.Result]",peerConnectionId,1
C:\Users\91768\Desktop\oops project\excel projects\flutter-webrtc-main\android\src\main\java\com\cloudwebrtc\webrtc\FlutterRTCFrameCryptor.java,com.cloudwebrtc.webrtc.FlutterRTCFrameCryptor,"frameCryptorFactoryCreateFrameCryptor/2[java.util.Map<java.lang.String,java.lang.Object>,com.cloudwebrtc.webrtc.Result]",pco,3
C:\Users\91768\Desktop\oops project\excel projects\flutter-webrtc-main\android\src\main\java\com\cloudwebrtc\webrtc\FlutterRTCFrameCryptor.java,com.cloudwebrtc.webrtc.FlutterRTCFrameCryptor,"frameCryptorFactoryCreateFrameCryptor/2[java.util.Map<java.lang.String,java.lang.Object>,com.cloudwebrtc.webrtc.Result]",algorithm,2
C:\Users\91768\Desktop\oops project\excel projects\flutter-webrtc-main\android\src\main\java\com\cloudwebrtc\webrtc\FlutterRTCFrameCryptor.java,com.cloudwebrtc.webrtc.FlutterRTCFrameCryptor,FlutterRTCFrameCryptor/1[com.cloudwebrtc.webrtc.StateProvider],stateProvider,2
C:\Users\91768\Desktop\oops project\excel projects\flutter-webrtc-main\android\src\main\java\com\cloudwebrtc\webrtc\FlutterRTCFrameCryptor.java,com.cloudwebrtc.webrtc.FlutterRTCFrameCryptor,"handleMethodCall/2[com.cloudwebrtc.webrtc.MethodCall,com.cloudwebrtc.webrtc.Result]",call,2
C:\Users\91768\Desktop\oops project\excel projects\flutter-webrtc-main\android\src\main\java\com\cloudwebrtc\webrtc\FlutterRTCFrameCryptor.java,com.cloudwebrtc.webrtc.FlutterRTCFrameCryptor,"handleMethodCall/2[com.cloudwebrtc.webrtc.MethodCall,com.cloudwebrtc.webrtc.Result]",result,10
C:\Users\91768\Desktop\oops project\excel projects\flutter-webrtc-main\android\src\main\java\com\cloudwebrtc\webrtc\FlutterRTCFrameCryptor.java,com.cloudwebrtc.webrtc.FlutterRTCFrameCryptor,"handleMethodCall/2[com.cloudwebrtc.webrtc.MethodCall,com.cloudwebrtc.webrtc.Result]",method_name,10
C:\Users\91768\Desktop\oops project\excel projects\flutter-webrtc-main\android\src\main\java\com\cloudwebrtc\webrtc\FlutterRTCFrameCryptor.java,com.cloudwebrtc.webrtc.FlutterRTCFrameCryptor,"handleMethodCall/2[com.cloudwebrtc.webrtc.MethodCall,com.cloudwebrtc.webrtc.Result]",params,10
C:\Users\91768\Desktop\oops project\excel projects\flutter-webrtc-main\android\src\main\java\com\cloudwebrtc\webrtc\FlutterRTCFrameCryptor.java,com.cloudwebrtc.webrtc.FlutterRTCFrameCryptor,"keyProviderSetKey/2[java.util.Map<java.lang.String,java.lang.Object>,com.cloudwebrtc.webrtc.Result]",result,2
C:\Users\91768\Desktop\oops project\excel projects\flutter-webrtc-main\android\src\main\java\com\cloudwebrtc\webrtc\FlutterRTCFrameCryptor.java,com.cloudwebrtc.webrtc.FlutterRTCFrameCryptor,"keyProviderSetKey/2[java.util.Map<java.lang.String,java.lang.Object>,com.cloudwebrtc.webrtc.Result]",participantId,1
C:\Users\91768\Desktop\oops project\excel projects\flutter-webrtc-main\android\src\main\java\com\cloudwebrtc\webrtc\FlutterRTCFrameCryptor.java,com.cloudwebrtc.webrtc.FlutterRTCFrameCryptor,"keyProviderSetKey/2[java.util.Map<java.lang.String,java.lang.Object>,com.cloudwebrtc.webrtc.Result]",paramsResult,2
C:\Users\91768\Desktop\oops project\excel projects\flutter-webrtc-main\android\src\main\java\com\cloudwebrtc\webrtc\FlutterRTCFrameCryptor.java,com.cloudwebrtc.webrtc.FlutterRTCFrameCryptor,"keyProviderSetKey/2[java.util.Map<java.lang.String,java.lang.Object>,com.cloudwebrtc.webrtc.Result]",keyProviderId,1
C:\Users\91768\Desktop\oops project\excel projects\flutter-webrtc-main\android\src\main\java\com\cloudwebrtc\webrtc\FlutterRTCFrameCryptor.java,com.cloudwebrtc.webrtc.FlutterRTCFrameCryptor,"keyProviderSetKey/2[java.util.Map<java.lang.String,java.lang.Object>,com.cloudwebrtc.webrtc.Result]",keyIndex,1
C:\Users\91768\Desktop\oops project\excel projects\flutter-webrtc-main\android\src\main\java\com\cloudwebrtc\webrtc\FlutterRTCFrameCryptor.java,com.cloudwebrtc.webrtc.FlutterRTCFrameCryptor,"keyProviderSetKey/2[java.util.Map<java.lang.String,java.lang.Object>,com.cloudwebrtc.webrtc.Result]",keyProvider,2
C:\Users\91768\Desktop\oops project\excel projects\flutter-webrtc-main\android\src\main\java\com\cloudwebrtc\webrtc\FlutterRTCFrameCryptor.java,com.cloudwebrtc.webrtc.FlutterRTCFrameCryptor,"keyProviderSetKey/2[java.util.Map<java.lang.String,java.lang.Object>,com.cloudwebrtc.webrtc.Result]",params,4
C:\Users\91768\Desktop\oops project\excel projects\flutter-webrtc-main\android\src\main\java\com\cloudwebrtc\webrtc\FlutterRTCFrameCryptor.java,com.cloudwebrtc.webrtc.FlutterRTCFrameCryptor,"keyProviderSetKey/2[java.util.Map<java.lang.String,java.lang.Object>,com.cloudwebrtc.webrtc.Result]",key,1
C:\Users\91768\Desktop\oops project\excel projects\flutter-webrtc-main\android\src\main\java\com\cloudwebrtc\webrtc\FlutterRTCFrameCryptor.java,com.cloudwebrtc.webrtc.FlutterRTCFrameCryptor,"frameCryptorSetKeyIndex/2[java.util.Map<java.lang.String,java.lang.Object>,com.cloudwebrtc.webrtc.Result]",result,2
C:\Users\91768\Desktop\oops project\excel projects\flutter-webrtc-main\android\src\main\java\com\cloudwebrtc\webrtc\FlutterRTCFrameCryptor.java,com.cloudwebrtc.webrtc.FlutterRTCFrameCryptor,"frameCryptorSetKeyIndex/2[java.util.Map<java.lang.String,java.lang.Object>,com.cloudwebrtc.webrtc.Result]",frameCryptor,2
C:\Users\91768\Desktop\oops project\excel projects\flutter-webrtc-main\android\src\main\java\com\cloudwebrtc\webrtc\FlutterRTCFrameCryptor.java,com.cloudwebrtc.webrtc.FlutterRTCFrameCryptor,"frameCryptorSetKeyIndex/2[java.util.Map<java.lang.String,java.lang.Object>,com.cloudwebrtc.webrtc.Result]",paramsResult,2
C:\Users\91768\Desktop\oops project\excel projects\flutter-webrtc-main\android\src\main\java\com\cloudwebrtc\webrtc\FlutterRTCFrameCryptor.java,com.cloudwebrtc.webrtc.FlutterRTCFrameCryptor,"frameCryptorSetKeyIndex/2[java.util.Map<java.lang.String,java.lang.Object>,com.cloudwebrtc.webrtc.Result]",keyIndex,1
C:\Users\91768\Desktop\oops project\excel projects\flutter-webrtc-main\android\src\main\java\com\cloudwebrtc\webrtc\FlutterRTCFrameCryptor.java,com.cloudwebrtc.webrtc.FlutterRTCFrameCryptor,"frameCryptorSetKeyIndex/2[java.util.Map<java.lang.String,java.lang.Object>,com.cloudwebrtc.webrtc.Result]",frameCryptorId,1
