file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\91768\Desktop\oops project\excel projects\iceberg-master\flink\v1.17\flink\src\main\java\org\apache\iceberg\flink\source\RowDataFileScanTaskReader.java,org.apache.iceberg.flink.source.RowDataFileScanTaskReader,class,19,26,7,19,18,2,0,43,0,0.5666667,1.0,1.0,6,0,2,4,0,0,2,0,0,0,5,0,0,5,0,0,5,0,1,98,6,0,5,0,0,2,0,20,1,19,2,0,1,3,62,1,0
C:\Users\91768\Desktop\oops project\excel projects\iceberg-master\spark\v3.4\spark\src\test\java\org\apache\iceberg\spark\source\TestDataFrameWriterV2.java,org.apache.iceberg.spark.source.TestDataFrameWriterV2,class,12,13,0,13,7,4,0,29,21,0.0,0.0,0.0,7,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,5,57,0,0,0,0,0,79,22,15,0,14,0,0,0,2,82,1,0
C:\Users\91768\Desktop\oops project\excel projects\iceberg-master\parquet\src\main\java\org\apache\iceberg\parquet\ParquetValueReaders.java,org.apache.iceberg.parquet.ParquetValueReaders$FloatAsDoubleReader,innerclass,3,3,0,3,3,3,0,2,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0
C:\Users\91768\Desktop\oops project\excel projects\iceberg-master\core\src\main\java\org\apache\iceberg\V2Metadata.java,org.apache.iceberg.V2Metadata,class,7,12,5,7,4,1,0,5,6,0.75,0.0,0.0,4,3,0,1,0,3,3,0,0,0,1,1,0,0,0,1,1,0,2,333,3,0,0,0,0,1,0,1,0,1,0,0,3,0,109,0,0
C:\Users\91768\Desktop\oops project\excel projects\iceberg-master\flink\v1.17\flink\src\test\java\org\apache\iceberg\flink\sink\TestFlinkWriterMetrics.java,TestFlinkWriterMetrics,class,5,5,0,5,5,1,0,10,6,0.0,0.0,0.0,4,0,2,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,20,3,1,0,0,0,0,1,4,0,4,1,0,0,0,24,1,0
C:\Users\91768\Desktop\oops project\excel projects\iceberg-master\api\src\main\java\org\apache\iceberg\actions\DeleteReachableFiles.java,org.apache.iceberg.actions.DeleteReachableFiles,interface,5,7,2,5,3,1,0,0,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,88,1,0
C:\Users\91768\Desktop\oops project\excel projects\iceberg-master\flink\v1.17\flink\src\main\java\org\apache\iceberg\flink\source\reader\ListBatchRecords.java,org.apache.iceberg.flink.source.reader.ListBatchRecords,class,5,7,2,5,6,1,0,6,0,0.52,0.6,1.0,5,1,4,0,0,1,5,0,0,0,5,0,0,5,0,0,3,0,1,36,5,0,0,0,0,1,1,7,0,6,1,0,0,0,25,0,0
C:\Users\91768\Desktop\oops project\excel projects\iceberg-master\api\src\main\java\org\apache\iceberg\transforms\Hours.java,org.apache.iceberg.transforms.Hours,class,12,17,5,12,17,2,0,4,28,0.875,0.0,0.0,8,1,5,0,1,2,8,0,0,0,1,1,0,1,0,0,1,0,3,39,11,0,5,0,0,5,0,1,1,1,1,0,0,0,39,1,0
C:\Users\91768\Desktop\oops project\excel projects\iceberg-master\orc\src\test\java\org\apache\iceberg\orc\TestOrcDataReader.java,org.apache.iceberg.orc.TestOrcDataReader,class,14,15,1,14,8,1,0,52,1,0.5416667,0.7,1.0,6,1,5,1,0,0,5,0,0,0,4,4,1,3,0,0,1,0,15,65,0,2,0,4,0,36,43,13,0,16,2,0,0,3,48,1,0
C:\Users\91768\Desktop\oops project\excel projects\iceberg-master\pig\src\main\java\org\apache\iceberg\pig\PigParquetReader.java,org.apache.iceberg.pig.PigParquetReader$TupleReader,innerclass,5,5,0,5,6,2,0,5,8,0.70000005,0.1,0.1,5,0,0,0,4,1,5,0,0,0,2,1,0,2,0,0,2,0,1,25,3,0,0,1,0,1,0,2,0,2,1,0,0,0,26,10,0
