file,class,method,variable,usage
C:\Users\91768\Desktop\oops project\excel projects\micrometer-main\implementations\micrometer-registry-graphite\src\test\java\io\micrometer\graphite\GraphiteHierarchicalNameMapperTest.java,io.micrometer.graphite.GraphiteHierarchicalNameMapperTest,toHierarchicalNameShouldSanitizeTagValueFromTagsAsPrefix/0,nameMapper,1
C:\Users\91768\Desktop\oops project\excel projects\micrometer-main\implementations\micrometer-registry-graphite\src\test\java\io\micrometer\graphite\GraphiteHierarchicalNameMapperTest.java,io.micrometer.graphite.GraphiteHierarchicalNameMapperTest,tagsAsPrefix/0,id,1
C:\Users\91768\Desktop\oops project\excel projects\micrometer-main\implementations\micrometer-registry-graphite\src\test\java\io\micrometer\graphite\GraphiteHierarchicalNameMapperTest.java,io.micrometer.graphite.GraphiteHierarchicalNameMapperTest,tagsAsPrefix/0,nameMapper,1
C:\Users\91768\Desktop\oops project\excel projects\micrometer-main\implementations\micrometer-registry-kairos\src\main\java\io\micrometer\kairos\KairosMeterRegistry.java,io.micrometer.kairos.KairosMeterRegistry$KairosMetricBuilder,"field/2[java.lang.String,java.lang.String]",sb,3
C:\Users\91768\Desktop\oops project\excel projects\micrometer-main\implementations\micrometer-registry-kairos\src\main\java\io\micrometer\kairos\KairosMeterRegistry.java,io.micrometer.kairos.KairosMeterRegistry$KairosMetricBuilder,tags/1[java.util.List<io.micrometer.kairos.Tag>],sb,1
C:\Users\91768\Desktop\oops project\excel projects\micrometer-main\implementations\micrometer-registry-kairos\src\main\java\io\micrometer\kairos\KairosMeterRegistry.java,io.micrometer.kairos.KairosMeterRegistry$KairosMetricBuilder,"datapoints/2[long,double]",sb,1
C:\Users\91768\Desktop\oops project\excel projects\micrometer-main\implementations\micrometer-registry-kairos\src\main\java\io\micrometer\kairos\KairosMeterRegistry.java,io.micrometer.kairos.KairosMeterRegistry$KairosMetricBuilder,build/0,sb,1
C:\Users\91768\Desktop\oops project\excel projects\micrometer-main\micrometer-core\src\main\java\io\micrometer\core\instrument\binder\grpc\ObservationGrpcServerCallListener.java,io.micrometer.core.instrument.binder.grpc.ObservationGrpcServerCallListener,onComplete/0,observation,2
C:\Users\91768\Desktop\oops project\excel projects\micrometer-main\micrometer-core\src\main\java\io\micrometer\core\instrument\binder\grpc\ObservationGrpcServerCallListener.java,io.micrometer.core.instrument.binder.grpc.ObservationGrpcServerCallListener,onReady/0,observation,1
C:\Users\91768\Desktop\oops project\excel projects\micrometer-main\micrometer-core\src\main\java\io\micrometer\core\instrument\binder\grpc\ObservationGrpcServerCallListener.java,io.micrometer.core.instrument.binder.grpc.ObservationGrpcServerCallListener,onHalfClose/0,observation,1
